id,name,screen_name
3907577966,FactsOnClimate,Facts On Climate
41144996,Cubs,Chicago Cubs
36771809,NatlParkService,NationalParkService
3281853858,TheIranDeal,The Iran Deal 
11348282,NASA,NASA
248795646,Columbia,Columbia University
39585367,Harvard,Harvard University
42999204,OxyNews,Occidental College
14498484,NHLBlackhawks,Chicago Blackhawks
53197137,whitesox,Chicago White Sox
47964412,ChicagoBears,Chicago Bears
16212685,chicagobulls,Chicago Bulls
1615463502,AmbassadorPower,Samantha Power
9624742,StateDept,Department of State
14615871,EPA,U.S. EPA
15007149,JohnKerry,John Kerry
15647676,DHSgov,Homeland Security
19948202,HUDgov,HUDgov
20179628,USDOL,US Labor Department
20437286,usedgov,US Dept of Education
43920155,SecretaryFoxx,Anthony Foxx
44615672,USTradeRep,USTR
44783853,HHSGov,HHS.gov
44873497,arneduncan,Arne Duncan
61853389,USDA,Dept. of Agriculture
66369181,DeptofDefense,U.S. Dept of Defense
73181712,TheJusticeDept,Justice Department
76348185,Interior,US Dept of Interior
78408666,DeptVetAffairs,Veterans Affairs
110541296,CommerceGov,U.S. Commerce Dept.
120176950,USTreasury,Treasury Department
153149305,SBAgov,SBA
166252256,ENERGY, Energy Department
308573576,PennyPritzker,Penny Pritzker
393562221,USDOT,TransportationGov
1342861723,SecretaryJewell,Sally Jewell
1393155566,ErnestMoniz,Ernest Moniz
1530850933,GinaEPA,Gina McCarthy
1604366701,LaborSec,Tom Perez
1854981890,Cabinet,The Cabinet
2207588833,ShaunOMB,Shaun Donovan
2328937074,MikeFroman,Michael Froman
2458567464,SecBurwell,Sylvia Burwell
2485930448,MCS4Biz,Maria ContrerasSweet
2695663285,SecretaryCastro,Julin Castro
475988505,GeorgeHWBush,George Bush
1330457336,billclinton,Bill Clinton
369505837,WHLive,White House Live
78138151,lacasablanca,La Casa Blanca
18215973,petesouza,petesouza
19674502,AmbassadorRice,Susan Rice
249722522,rhodes44,Ben Rhodes
369232105,PAniskoff44,Paulette Aniskoff
369245377,NSCPress,WH National Security
1281405877,DrBiden,Dr. Jill Biden
1603381488,Katie44,Katie Beirne Fallon
1603419038,Schultz44,Eric Schultz
1613223313,Cecilia44,Cecilia Muoz
1979039203,CEABetsey,Betsey Stevenson
1861751828,CEAChair,Jason Furman
33998183,whitehouseostp,The White House OSTP
2382117350,Deese44,Brian Deese
131144091,Goldman44,Jason Goldman
1135399020,Simas44,David Simas
1135388684,Psaki44,Jen Psaki
595515713,vj44,Valerie Jarrett
113420831,PressSec,Josh Earnest
325830217,VP,Vice President Biden
1093090866,FLOTUS,The First Lady
30313925,WhiteHouse,The White House
